CustomerID,CustomerName,Gender,BirthDate,SignupDate,City,Latitude,Longitude,ProductCount,TotalBalance,AccountTypes,RecencyDays,Frequency,MonetaryDebit,R_Score,F_Score,M_Score,RFM_Score,IsDormant,ValueSegment,EngagementStage,LastTxnDate
34,Amaka Okoro,F,1992-05-05,2025-06-09,Owerri,5.484,7.0351,2,614715.0700000001,current|loan,400,19,1501604.93,1,2,3,123,1,Hibernating,Dormant,2025-06-12
35,Adesuwa Ogunleye,M,1982-03-28,2026-03-06,Abeokuta,7.1475,3.3619,2,701275.75,current|savings,0,37,2176154.18,5,5,5,555,0,Champions,High Value,2026-07-17
36,Ngozi Ogunleye,F,1979-01-07,2026-01-28,Kaduna,10.5105,7.4165,2,596894.03,savings,51,16,701416.56,2,2,1,221,0,Hibernating,Multi-Product,2026-05-27
37,Grace Bello,M,1987-09-26,2025-09-21,Lagos,6.5244,3.3792,2,556932.99,loan,25,42,2793824.42,3,5,5,355,0,Loyal,High Value,2026-06-22
38,Ngozi Balogun,F,1973-12-22,2024-05-12,Ibadan,7.3775,3.947,2,261323.01,loan,59,11,691597.98,2,1,1,211,0,Hibernating,Multi-Product,2026-05-19
39,Emmanuel Suleman,M,1985-07-29,2025-09-10,Enugu,6.4584,7.5464,2,275821.27999999997,current|savings,11,29,1526740.84,4,4,3,443,0,Champions,Multi-Product,2026-07-06
40,Uche Eze,F,1984-03-06,2024-11-15,Port Harcourt,4.8156,7.0498,2,406125.02,current|savings,21,18,829060.5,3,2,2,322,0,At Risk,Multi-Product,2026-06-26
41,Abubakar Ibrahim,M,1978-06-04,2023-12-26,Ibadan,7.3775,3.947,1,134800.69,current,32,16,871311.26,3,2,2,322,0,At Risk,Active,2026-06-15
42,Ngozi Okonkwo,F,1987-09-23,2024-11-08,Jos,9.8965,8.8583,1,151062.15,loan,12,24,1794550.07,4,3,4,434,0,Champions,Active,2026-07-05
43,Ifeanyi Lawal,F,1971-11-25,2026-02-26,Abuja,9.0765,7.3986,2,245093.5,current|savings,36,40,2580912.35,2,5,5,255,0,Loyal,High Value,2026-06-11
44,Obinna Nwabueze,F,1971-07-22,2024-08-27,Abuja,9.0765,7.3986,2,872486.24,current|savings,112,19,701451.37,1,2,1,121,0,Hibernating,Multi-Product,2026-03-27
45,Halima Johnson,M,1996-06-17,2025-10-17,Jos,9.8965,8.8583,2,353056.76,loan,43,46,2879017.47,2,5,5,255,0,Loyal,High Value,2026-06-04
46,Aisha Adegoke,F,1984-06-07,2024-01-27,Jos,9.8965,8.8583,2,350054.42000000004,current|loan,8,43,3441522.9699999997,4,5,5,455,0,Champions,High Value,2026-07-09
47,Lilian Hassan,M,1988-05-28,2025-07-19,Lagos,6.5244,3.3792,1,373745.72,loan,5,17,1093787.11,5,2,2,522,0,At Risk,Active,2026-07-12
48,Emmanuel Lawal,M,1979-04-02,2024-05-24,Lagos,6.5244,3.3792,1,492648.72,savings,45,22,1221281.18,2,3,3,233,0,Loyal,Active,2026-06-02
49,Abubakar Okoro,F,1996-01-26,2024-05-04,Port Harcourt,4.8156,7.0498,1,195688.41,current,63,22,2123859.51,2,3,4,234,0,Loyal,Active,2026-05-15
50,Yakubu Eze,F,1985-07-26,2025-12-21,Kaduna,10.5105,7.4165,2,763360.29,savings,18,22,1076562.55,4,3,2,432,0,At Risk,Multi-Product,2026-06-29
51,Lilian Hassan,F,1988-10-26,2025-03-16,Owerri,5.484,7.0351,2,743188.5700000001,savings,366,20,1006289.46,1,3,2,132,1,Hibernating,Dormant,2025-07-16
52,Adesuwa Okoro,F,1978-06-15,2025-06-09,Kaduna,10.5105,7.4165,1,115876.65,current,13,17,1150328.0999999999,4,2,2,422,0,At Risk,Active,2026-07-04
53,Zainab Ogunleye,F,1978-09-05,2026-03-08,Kano,12.0022,8.592,1,55692.92,savings,6,13,854906.11,5,1,2,512,0,At Risk,Active,2026-07-11
54,Adesuwa Nwachukwu,F,1986-12-02,2026-02-23,Jos,9.8965,8.8583,1,6501.94,current,9,20,536103.67,4,3,1,431,0,At Risk,Active,2026-07-08
55,Halima Suleman,F,1983-04-29,2024-05-14,Enugu,6.4584,7.5464,2,249375.0,loan,46,24,1244853.87,2,3,3,233,0,Loyal,Multi-Product,2026-06-01
56,Ibrahim Obi,F,1975-02-03,2026-01-31,Calabar,4.9757,8.3417,2,753760.72,current|loan,26,27,1707313.93,3,4,4,344,0,Loyal,High Value,2026-06-21
57,Adesuwa Mohammed,M,1983-09-09,2026-03-22,Ibadan,7.3775,3.947,2,176741.84000000003,loan|savings,60,16,816916.04,2,2,2,222,0,Hibernating,Multi-Product,2026-05-18
58,Aisha Danjuma,F,1989-08-22,2025-02-04,Ibadan,7.3775,3.947,2,503237.86,current|savings,12,35,1391478.09,4,5,3,453,0,Champions,Multi-Product,2026-07-05
59,Amaka Nwabueze,M,1980-04-11,2026-01-10,Abuja,9.0765,7.3986,1,163495.35,current,32,23,1606250.71,3,3,3,333,0,At Risk,Active,2026-06-15
60,Fatima Okoro,M,1977-05-26,2025-08-23,Abuja,9.0765,7.3986,1,285671.91,savings,19,16,692385.98,3,2,1,321,0,At Risk,Active,2026-06-28
61,Tunde Onyeka,F,1994-04-27,2024-07-30,Abeokuta,7.1475,3.3619,1,343684.33,loan,23,21,832225.39,3,3,2,332,0,At Risk,Active,2026-06-24
62,Kehinde Lawal,M,1977-08-19,2024-04-28,Port Harcourt,4.8156,7.0498,1,158076.31,loan,24,17,687389.9400000001,3,2,1,321,0,At Risk,Active,2026-06-23
63,Adesuwa Okeke,F,1972-12-26,2025-11-21,Ibadan,7.3775,3.947,1,373927.93,loan,5,16,610004.62,5,2,1,521,0,At Risk,Active,2026-07-12
64,Obinna Adelaja,M,1970-11-28,2024-07-25,Abuja,9.0765,7.3986,2,606839.61,loan,31,33,2741156.12,3,5,5,355,0,Loyal,High Value,2026-06-16
65,Halima Okonkwo,F,1992-12-31,2024-07-26,Kaduna,10.5105,7.4165,2,511526.69,current|savings,0,30,1466659.07,5,4,3,543,0,Champions,Multi-Product,2026-07-17
66,Mercy Lawal,F,1980-04-17,2024-02-27,Calabar,4.9757,8.3417,2,719419.95,current|loan,19,19,1210077.7,3,2,3,323,0,At Risk,Multi-Product,2026-06-28
67,Amaka Johnson,M,1991-02-26,2024-11-02,Abuja,9.0765,7.3986,2,569385.56,current|savings,0,31,2032659.26,5,4,4,544,0,Champions,High Value,2026-07-17
68,Lilian Nwabueze,F,1974-10-21,2023-12-24,Ibadan,7.3775,3.947,2,505123.91,current|savings,397,10,451482.67,1,1,1,111,1,Hibernating,Dormant,2025-06-15
69,Halima Ahmed,F,1976-08-10,2023-12-12,Port Harcourt,4.8156,7.0498,2,904170.52,loan,5,34,2957944.51,5,5,5,555,0,Champions,High Value,2026-07-12
70,Kehinde Balogun,M,1995-04-01,2025-02-08,Jos,9.8965,8.8583,2,475141.88999999996,loan|savings,11,28,2055655.57,4,4,4,444,0,Champions,High Value,2026-07-06
71,Yakubu Ajibade,F,1977-10-10,2023-09-07,Kaduna,10.5105,7.4165,2,185964.35,loan|savings,74,10,462828.03,1,1,1,111,0,Hibernating,Multi-Product,2026-05-04
72,Bola Onyeka,M,1993-08-16,2024-11-28,Owerri,5.484,7.0351,2,59712.6,loan|savings,0,25,1273384.12,5,3,3,533,0,At Risk,Multi-Product,2026-07-17
73,Ngozi Hassan,M,1993-05-05,2023-10-21,Jos,9.8965,8.8583,2,283798.23,current|savings,38,28,1322218.6,2,4,3,243,0,Loyal,Multi-Product,2026-06-09
74,Uche Nwabueze,M,1983-12-06,2025-05-27,Port Harcourt,4.8156,7.0498,1,491719.66,current,8,24,1387442.58,4,3,3,433,0,At Risk,Active,2026-07-09
75,Bola Lawal,F,1992-09-15,2024-07-31,Abuja,9.0765,7.3986,2,301841.18,savings,17,28,1465601.22,4,4,3,443,0,Champions,Multi-Product,2026-06-30
76,Uche Okonkwo,M,1983-04-15,2024-04-19,Owerri,5.484,7.0351,2,222126.25,current|savings,10,18,1478246.01,4,2,3,423,0,At Risk,Multi-Product,2026-07-07
77,Abubakar Okonkwo,M,1981-08-31,2024-04-18,Benin City,6.335,5.6037,2,321836.51,loan,4,26,2142514.7,5,4,5,545,0,Champions,High Value,2026-07-13
78,Halima Johnson,M,1994-09-04,2025-10-31,Abeokuta,7.1475,3.3619,1,256160.77,savings,34,14,1246016.12,3,2,3,323,0,At Risk,Active,2026-06-13
79,Abubakar Eze,F,1985-01-11,2024-12-26,Lagos,6.5244,3.3792,2,238026.86000000002,loan|savings,1,29,1367428.33,5,4,3,543,0,Champions,Multi-Product,2026-07-16
80,Chinedu Nwabueze,F,1970-06-13,2025-09-01,Ibadan,7.3775,3.947,2,650660.0800000001,savings,6,26,1197397.84,5,4,3,543,0,Champions,Multi-Product,2026-07-11
81,Fatima Ahmed,M,1989-11-15,2026-05-03,Port Harcourt,4.8156,7.0498,1,65446.76,savings,36,23,1316596.71,2,3,3,233,0,Loyal,Active,2026-06-11
82,Uche Mohammed,M,1971-04-02,2025-03-30,Benin City,6.335,5.6037,1,388070.71,current,224,7,241842.94,1,1,1,111,0,Hibernating,Active,2025-12-05
83,Segun Okeke,F,1973-04-28,2025-09-08,Ibadan,7.3775,3.947,1,81875.59,savings,120,4,578958.75,1,1,1,111,0,Hibernating,Active,2026-03-19
84,Aisha Lawal,M,1970-03-24,2026-04-10,Owerri,5.484,7.0351,1,345212.16,savings,20,10,905478.33,3,1,2,312,0,At Risk,Active,2026-06-27
85,Amaka Onyeka,F,1985-03-15,2025-05-16,Ibadan,7.3775,3.947,2,596044.04,current,420,15,751412.6599999999,1,2,2,122,1,Hibernating,Dormant,2025-05-23
86,Grace Johnson,F,1996-06-25,2025-12-23,Kaduna,10.5105,7.4165,1,138961.69,current,23,12,525941.0900000001,3,1,1,311,0,Hibernating,Active,2026-06-24
87,Uche Okoro,M,1997-03-10,2023-08-25,Abuja,9.0765,7.3986,2,394856.86,loan|savings,76,23,1737605.54,1,3,4,134,0,Loyal,High Value,2026-05-02
88,Ifeanyi Okeke,F,1978-12-21,2026-01-24,Calabar,4.9757,8.3417,2,697441.85,current,27,40,1852738.82,3,5,4,354,0,Loyal,High Value,2026-06-20
89,Kehinde Balogun,M,1974-04-11,2024-08-31,Abeokuta,7.1475,3.3619,1,249406.88,loan,60,4,238556.75,2,1,1,211,0,Hibernating,Active,2026-05-18
90,Halima Hassan,M,1987-01-01,2024-08-31,Abuja,9.0765,7.3986,2,576287.7,loan,25,21,1506050.44,3,3,3,333,0,At Risk,Multi-Product,2026-06-22
91,Adesuwa Bello,F,1990-04-01,2023-08-04,Kano,12.0022,8.592,2,790422.19,current|loan,0,14,1337075.6500000001,5,2,3,523,0,At Risk,Multi-Product,2026-07-17
92,Zainab Okoro,F,1994-08-18,2024-12-10,Enugu,6.4584,7.5464,2,569514.47,loan,8,41,2619523.87,4,5,5,455,0,Champions,High Value,2026-07-09
93,David Danjuma,M,1982-09-21,2025-02-17,Abeokuta,7.1475,3.3619,2,258770.85,loan|savings,28,23,1820661.63,3,3,4,334,0,Loyal,High Value,2026-06-19
94,Ifeanyi Ahmed,M,1987-08-21,2025-12-05,Abeokuta,7.1475,3.3619,1,316015.05,loan,4,18,1338341.42,5,2,3,523,0,At Risk,Active,2026-07-13
95,David Danjuma,M,1986-02-14,2024-01-19,Benin City,6.335,5.6037,1,492041.43,loan,61,22,1539698.18,2,3,3,233,0,Loyal,Active,2026-05-17
96,Halima Bello,F,1985-07-09,2025-03-08,Calabar,4.9757,8.3417,1,116960.53,current,39,17,1038678.78,2,2,2,222,0,Hibernating,Active,2026-06-08
97,Ibrahim Okonkwo,M,1971-08-28,2023-10-30,Owerri,5.484,7.0351,2,99714.81,current|loan,1,27,1354674.6099999999,5,4,3,543,0,Champions,Multi-Product,2026-07-16
98,Halima Okonkwo,F,1971-07-29,2025-10-11,Lagos,6.5244,3.3792,1,469764.83,current,59,15,703041.38,2,2,1,221,0,Hibernating,Active,2026-05-19
99,Kehinde Onyeka,F,1979-06-20,2024-02-20,Kano,12.0022,8.592,1,245511.16,current,59,13,1259277.6,2,1,3,213,0,Hibernating,Active,2026-05-19
100,Lilian Abiola,F,1986-02-22,2026-02-04,Lagos,6.5244,3.3792,2,830128.29,current|loan,25,43,3128830.17,3,5,5,355,0,Loyal,High Value,2026-06-22
101,Ngozi Nwabueze,M,1986-03-02,2024-02-16,Abeokuta,7.1475,3.3619,2,714881.8700000001,current|savings,33,24,1527178.2,3,3,3,333,0,At Risk,Multi-Product,2026-06-14
102,Ifeanyi Ahmed,M,1995-04-13,2026-05-16,Calabar,4.9757,8.3417,2,439782.55999999994,savings,411,9,254729.94,1,1,1,111,1,Hibernating,Dormant,2025-06-01
103,Adesuwa Ogunleye,F,1996-10-20,2026-03-20,Kano,12.0022,8.592,1,425693.37,loan,168,8,932633.96,1,1,2,112,0,Hibernating,Active,2026-01-30
104,Ngozi Umeh,F,1995-02-14,2024-03-29,Benin City,6.335,5.6037,2,838128.5700000001,savings,29,36,2585126.15,3,5,5,355,0,Loyal,High Value,2026-06-18
105,Halima Ahmed,F,1996-09-21,2023-08-10,Kaduna,10.5105,7.4165,2,296883.62,loan,0,27,2421251.8,5,4,5,545,0,Champions,High Value,2026-07-17
106,Grace Umeh,M,1996-05-16,2024-03-19,Kaduna,10.5105,7.4165,2,526021.28,savings,19,25,1900040.17,3,3,4,334,0,Loyal,High Value,2026-06-28
107,Grace Onyeka,M,1975-12-10,2024-05-28,Jos,9.8965,8.8583,1,127374.98,savings,16,21,1452685.17,4,3,3,433,0,At Risk,Active,2026-07-01
108,Bola Obi,F,1979-12-25,2024-11-17,Enugu,6.4584,7.5464,1,13563.27,current,0,14,550641.97,5,2,1,521,0,At Risk,Active,2026-07-17
109,Segun Okoro,F,1984-10-19,2026-03-17,Benin City,6.335,5.6037,2,513080.57999999996,loan,14,33,1913835.61,4,5,4,454,0,Champions,High Value,2026-07-03
110,Halima Onyeka,F,1982-06-16,2025-04-22,Ibadan,7.3775,3.947,2,244125.56,loan|savings,1,32,2971886.28,5,4,5,545,0,Champions,High Value,2026-07-16
111,Zainab Umeh,M,1970-02-24,2025-09-03,Kano,12.0022,8.592,1,302606.98,loan,66,18,1068336.69,2,2,2,222,0,Hibernating,Active,2026-05-12
112,Aisha Eze,M,1987-10-10,2024-05-21,Lagos,6.5244,3.3792,2,590908.92,current|loan,0,19,510696.12,5,2,1,521,0,At Risk,Multi-Product,2026-07-17
113,Fatima Ahmed,M,1989-05-25,2024-03-09,Calabar,4.9757,8.3417,1,463536.29,current,35,11,879082.98,2,1,2,212,0,Hibernating,Active,2026-06-12
114,Emmanuel Adegoke,M,1986-11-12,2024-12-11,Kano,12.0022,8.592,2,581341.63,loan|savings,7,38,2204804.27,5,5,5,555,0,Champions,High Value,2026-07-10
115,Grace Eze,M,1994-03-23,2026-02-12,Port Harcourt,4.8156,7.0498,1,56133.08,savings,125,17,1129673.78,1,2,2,122,0,Hibernating,Active,2026-03-14
116,Grace Abiola,F,1986-10-05,2025-10-19,Port Harcourt,4.8156,7.0498,2,843864.1599999999,current|loan,8,31,3163717.0,4,4,5,445,0,Champions,High Value,2026-07-09
117,Bola Okonkwo,M,1994-09-10,2025-04-06,Kano,12.0022,8.592,2,610322.83,current,5,24,1856128.05,5,3,4,534,0,Champions,High Value,2026-07-12
118,Segun Hassan,M,1984-08-20,2025-02-09,Benin City,6.335,5.6037,2,405448.83999999997,current|savings,60,35,2144998.89,2,5,5,255,0,Loyal,High Value,2026-05-18
119,Ibrahim Adegoke,F,1984-05-11,2026-03-31,Jos,9.8965,8.8583,1,113646.13,loan,459,4,546487.66,1,1,1,111,1,Hibernating,Dormant,2025-04-14
120,Abubakar Mohammed,F,1980-08-16,2025-08-26,Port Harcourt,4.8156,7.0498,2,444775.06,current,12,35,1581950.51,4,5,3,453,0,Champions,Multi-Product,2026-07-05
121,Amaka Bello,M,1979-03-15,2025-06-23,Enugu,6.4584,7.5464,1,342096.97,savings,32,24,1444567.32,3,3,3,333,0,At Risk,Active,2026-06-15
122,Kehinde Obi,F,1983-06-27,2025-02-03,Port Harcourt,4.8156,7.0498,1,419039.24,loan,129,10,809723.99,1,1,2,112,0,Hibernating,Active,2026-03-10
123,Aisha Nwachukwu,F,1976-01-27,2024-10-30,Kano,12.0022,8.592,1,163464.31,loan,91,9,210205.97,1,1,1,111,0,Hibernating,Active,2026-04-17
124,Abubakar Mohammed,M,1979-04-13,2025-11-03,Lagos,6.5244,3.3792,2,709414.35,loan|savings,26,41,2500777.31,3,5,5,355,0,Loyal,High Value,2026-06-21
125,Emeka Ajibade,F,1989-11-17,2024-11-09,Kano,12.0022,8.592,1,421908.76,current,101,5,85656.94,1,1,1,111,0,Hibernating,Active,2026-04-07
126,Amaka Abiola,F,1977-03-24,2023-11-18,Enugu,6.4584,7.5464,1,25099.39,current,23,15,1002802.2200000001,3,2,2,322,0,At Risk,Active,2026-06-24
127,Lilian Balogun,F,1971-03-13,2025-10-19,Abuja,9.0765,7.3986,2,467291.96,current|savings,16,45,3146016.12,4,5,5,455,0,Champions,High Value,2026-07-01
128,Obinna Hassan,F,1975-03-13,2026-01-26,Abeokuta,7.1475,3.3619,2,46230.38,savings,38,18,1419420.85,2,2,3,223,0,Hibernating,Multi-Product,2026-06-09
129,Aisha Abiola,M,1970-07-29,2024-09-22,Ibadan,7.3775,3.947,1,227227.04,savings,36,7,546794.01,2,1,1,211,0,Hibernating,Active,2026-06-11
130,Mercy Adelaja,M,1970-06-13,2026-06-06,Ibadan,7.3775,3.947,1,295110.58,loan,70,22,1612508.82,2,3,4,234,0,Loyal,Active,2026-05-08
131,David Okoro,M,1988-11-14,2025-12-02,Abuja,9.0765,7.3986,2,342283.07,loan,20,33,1535325.43,3,5,3,353,0,Loyal,Multi-Product,2026-06-27
132,Emmanuel Adelaja,M,1989-05-06,2025-01-25,Benin City,6.335,5.6037,1,245247.17,loan,109,12,620243.5900000001,1,1,1,111,0,Hibernating,Active,2026-03-30
133,Obinna Nwachukwu,F,1994-11-12,2026-05-04,Lagos,6.5244,3.3792,2,368687.46,current|loan,3,34,2196740.42,5,5,5,555,0,Champions,High Value,2026-07-14
134,Tunde Onyeka,F,1988-05-22,2025-06-10,Lagos,6.5244,3.3792,1,13985.19,loan,122,7,264053.14,1,1,1,111,0,Hibernating,Active,2026-03-17
135,Obinna Lawal,F,1970-05-28,2026-01-31,Calabar,4.9757,8.3417,1,458613.2,loan,6,20,1124148.87,5,3,2,532,0,At Risk,Active,2026-07-11
136,David Obi,M,1977-07-06,2026-03-30,Kano,12.0022,8.592,1,163118.32,loan,585,2,284113.39,1,1,1,111,1,Hibernating,Dormant,2024-12-09
137,Grace Ogunleye,M,1992-03-11,2023-08-30,Port Harcourt,4.8156,7.0498,2,450413.41000000003,loan|savings,4,29,1863328.59,5,4,4,544,0,Champions,High Value,2026-07-13
138,Emeka Ibrahim,F,1991-01-16,2023-12-26,Kaduna,10.5105,7.4165,1,395926.16,savings,14,11,1177144.45,4,1,2,412,0,At Risk,Active,2026-07-03
139,Halima Ahmed,F,1984-11-21,2025-05-05,Lagos,6.5244,3.3792,1,98937.88,current,172,9,394387.44,1,1,1,111,0,Hibernating,Active,2026-01-26
140,Ifeanyi Johnson,F,1988-09-30,2025-05-31,Lagos,6.5244,3.3792,2,554099.6,loan|savings,10,27,1767541.6,4,4,4,444,0,Champions,High Value,2026-07-07
141,Bola Adelaja,M,1972-10-23,2026-05-11,Port Harcourt,4.8156,7.0498,2,721580.53,loan|savings,56,25,1172864.86,2,3,2,232,0,Hibernating,Multi-Product,2026-05-22
142,Zainab Ogunleye,F,1985-04-17,2024-10-27,Abeokuta,7.1475,3.3619,2,718064.85,current|savings,21,22,993470.25,3,3,2,332,0,At Risk,Multi-Product,2026-06-26
143,Halima Onyeka,F,1972-03-16,2025-05-30,Ibadan,7.3775,3.947,2,485139.03,current|savings,14,22,1331294.0999999999,4,3,3,433,0,At Risk,Multi-Product,2026-07-03
144,Ngozi Eze,F,1983-04-19,2025-11-16,Benin City,6.335,5.6037,1,345868.82,savings,43,14,953902.19,2,2,2,222,0,Hibernating,Active,2026-06-04
145,Grace Mohammed,M,1975-05-01,2026-06-24,Abeokuta,7.1475,3.3619,2,298251.62,current|savings,5,43,2912373.39,5,5,5,555,0,Champions,High Value,2026-07-12
146,Amaka Ibrahim,F,1972-08-26,2025-01-12,Kaduna,10.5105,7.4165,2,910119.37,loan|savings,54,19,1733696.96,2,2,4,224,0,Loyal,High Value,2026-05-24
147,Emeka Okeke,F,1979-06-02,2025-09-18,Ibadan,7.3775,3.947,2,563020.81,current,28,40,3061660.9699999997,3,5,5,355,0,Loyal,High Value,2026-06-19
148,Yakubu Ibrahim,F,1990-04-14,2024-12-03,Lagos,6.5244,3.3792,2,255701.38,loan,5,24,1819702.23,5,3,4,534,0,Champions,High Value,2026-07-12
149,Kehinde Nwachukwu,M,1975-09-03,2023-08-19,Kano,12.0022,8.592,2,560568.2,current|loan,99,29,2032688.68,1,4,4,144,0,Loyal,High Value,2026-04-09
150,Kehinde Obi,M,1991-11-02,2023-10-24,Enugu,6.4584,7.5464,2,334491.49,current|savings,0,24,1843021.57,5,3,4,534,0,Champions,High Value,2026-07-17
151,Yakubu Suleman,M,1987-08-08,2025-04-26,Ibadan,7.3775,3.947,2,587788.89,current|savings,19,23,1528241.8900000001,3,3,3,333,0,At Risk,Multi-Product,2026-06-28
