AccountID,CustomerID,AccountNumber,AccountType,OpenDate,Balance
158,95,5466273981,loan,2024-03-15,492041.43
159,96,3590440273,current,2025-03-22,116960.53
160,97,4914172750,current,2024-01-11,56987.03
161,97,9497999334,loan,2023-12-14,42727.78
162,98,8057363465,current,2025-11-20,469764.83
163,99,3600847263,current,2024-03-19,245511.16
164,100,3044432575,loan,2026-04-01,373574.5
165,100,3770236948,current,2026-04-06,456553.79
166,101,8869068994,current,2024-03-19,285864.78
167,101,5997321792,savings,2024-03-24,429017.09
168,102,6528849889,savings,2026-06-05,277117.66
169,102,6280583141,savings,2026-06-14,162664.9
170,103,4019167630,loan,2026-04-02,425693.37
171,104,3924759617,savings,2024-04-30,449871.55
172,104,8423336074,savings,2024-06-23,388257.02
173,105,1084008500,loan,2023-10-14,277283.71
174,105,1761760394,loan,2023-09-07,19599.91
175,106,2786072453,savings,2024-03-30,47523.97
176,106,3576206681,savings,2024-05-07,478497.31
177,107,1078572394,savings,2024-08-25,127374.98
178,108,5665556667,current,2024-12-03,13563.27
179,109,1634228144,loan,2026-05-15,276718.92
180,109,4782450716,loan,2026-05-05,236361.66
181,110,3416723612,savings,2025-07-21,179210.58
182,110,5186784903,loan,2025-06-23,64914.98
183,111,1196836605,loan,2025-11-13,302606.98
184,112,1944044710,loan,2024-06-04,438041.32
185,112,7129381004,current,2024-08-02,152867.6
186,113,7126231353,current,2024-05-10,463536.29
187,114,6075975669,savings,2025-01-06,124103.2
188,114,6253255999,loan,2025-02-02,457238.43
189,115,3275747146,savings,2026-04-17,56133.08
190,116,5479247359,loan,2025-11-12,431138.42
191,116,8766774106,current,2025-12-05,412725.74
192,117,8540635122,current,2025-07-05,262031.41
193,117,1421563786,current,2025-04-11,348291.42
194,118,8109279091,savings,2025-02-22,352535.93
195,118,8054958506,current,2025-03-02,52912.91
196,119,1392237594,loan,2026-06-19,113646.13
197,120,3313103981,current,2025-09-14,62550.36
198,120,8595192781,current,2025-11-18,382224.7
199,121,8950960482,savings,2025-09-11,342096.97
200,122,8093215748,loan,2025-04-03,419039.24
201,123,8801011765,loan,2024-11-15,163464.31
202,124,5286171525,loan,2025-12-10,235680.38
203,124,7144499118,savings,2025-11-28,473733.97
204,125,2642909762,current,2024-11-10,421908.76
205,126,9540947070,current,2024-02-06,25099.39
206,127,7190672808,current,2025-12-14,163818.69
207,127,1079555528,savings,2025-12-31,303473.27
208,128,5999883474,savings,2026-04-05,19553.94
209,128,4880337119,savings,2026-03-01,26676.44
210,129,8554613580,savings,2024-11-27,227227.04
211,130,9337041622,loan,2026-08-16,295110.58
212,131,1097469665,loan,2026-01-08,47026.75
213,131,3185095723,loan,2026-01-15,295256.32
214,132,9439540823,loan,2025-02-17,245247.17
215,133,2670568865,current,2026-06-18,24065.32
216,133,8896063594,loan,2026-06-10,344622.14
217,134,9333775151,loan,2025-07-28,13985.19
218,135,5920244860,loan,2026-04-14,458613.2
219,136,1662482209,loan,2026-06-12,163118.32
220,137,2852540557,loan,2023-09-14,441422.82
221,137,5448903212,savings,2023-10-04,8990.59
222,138,6929902259,savings,2024-03-23,395926.16
223,139,8011366855,current,2025-05-22,98937.88
224,140,3613135488,loan,2025-07-18,385524.87
225,140,9349718758,savings,2025-07-16,168574.73
226,141,3803988782,savings,2026-07-04,438485.39
227,141,3810693234,loan,2026-07-08,283095.14
228,142,9489333462,savings,2024-12-26,276076.88
229,142,1847873703,current,2024-12-06,441987.97
230,143,7589336335,savings,2025-07-27,388267.01
231,143,5520663120,current,2025-08-08,96872.02
232,144,3898355593,savings,2025-12-31,345868.82
233,145,2062964855,current,2026-07-06,88155.97
234,145,1700130076,savings,2026-07-19,210095.65
235,146,4300070789,savings,2025-01-26,424602.23
236,146,3042444820,loan,2025-02-14,485517.14
237,147,8666089765,current,2025-10-24,272867.36
238,147,8023849651,current,2025-10-07,290153.45
239,148,5284080684,loan,2024-12-16,68483.75
240,148,4510622937,loan,2025-01-05,187217.63
241,149,9296805327,loan,2023-11-06,146322.19
242,149,3322729254,current,2023-10-02,414246.01
243,150,4679959277,savings,2024-01-16,97493.45
244,150,7203717193,current,2023-12-15,236998.04
245,151,2357106243,savings,2025-07-16,404806.46
246,151,1321521166,current,2025-06-14,182982.43
247,152,2873660761,loan,2025-01-28,107536.35
248,153,4485052611,savings,2025-01-05,129103.08
249,153,2115798233,savings,2024-10-27,131115.68
250,154,6857240549,savings,2026-01-30,418143.51
251,154,5032648483,savings,2026-01-28,400087
252,155,6136719696,loan,2025-01-26,104365.66
253,155,3453111763,current,2025-04-24,40533.83
254,156,2759566823,loan,2023-09-16,192186.69
255,157,6334690665,savings,2024-09-15,350528.47
256,158,4785296511,current,2024-05-13,337214.09
257,158,9426984382,loan,2024-06-16,202653.58
258,159,7069111306,current,2025-12-25,476074.65
259,159,4731598227,loan,2025-12-23,286666.15
260,160,9361852741,loan,2024-07-10,357550.01
261,160,2862741941,current,2024-05-28,272521.76
262,161,3483681255,loan,2026-06-22,48593.32
263,161,7385193154,loan,2026-05-19,176507.83
264,162,8749404234,savings,2025-10-21,306381.15
265,162,9087144194,current,2025-10-14,178109.81
266,163,2582272644,current,2025-04-08,68505.36
267,163,3389634256,savings,2025-06-20,46456.24
268,164,9324568979,current,2024-06-22,241518.35
269,164,7062386223,loan,2024-06-01,283447.01
270,165,7880986716,loan,2023-12-15,479479.25
271,166,6498016968,savings,2024-05-05,93049.61
272,167,5780513440,savings,2025-07-02,184778.84
273,167,9167878608,savings,2025-08-29,430508.26
274,168,5484418662,savings,2025-06-05,79769.47
275,168,2470320540,savings,2025-06-03,115951.84
276,169,5460037453,current,2024-04-23,27026.35
277,169,8740502460,current,2024-05-28,372859.88
278,170,6081652768,savings,2024-04-02,483941.72
279,171,6304047560,savings,2023-10-02,231425.09
280,171,8530651011,savings,2023-10-08,124586.88
281,172,4403404082,current,2025-07-10,329600.87
282,173,8564270203,loan,2023-08-23,350316.41
283,174,9691841748,loan,2024-06-01,253621.71
284,175,7098461232,loan,2025-12-13,485536.19
285,175,2819744144,savings,2025-11-27,347462.1
286,176,5231106515,loan,2025-09-12,81286.64
287,176,2255051000,current,2025-11-10,343729.84
288,177,4087308872,loan,2025-06-14,309950.09
289,178,9255578096,current,2024-05-01,443441.48
290,179,6462778791,loan,2026-09-15,216184.18
291,179,5824199448,loan,2026-08-03,234038.5
292,180,9988851400,loan,2026-05-13,13210.91
293,181,2203244852,savings,2024-11-18,49521.74
294,181,3198498797,savings,2024-09-09,119155.28
295,182,4052258516,savings,2025-11-19,452334.68
296,183,2443701087,savings,2026-09-06,142161.83
297,183,4992331078,savings,2026-07-26,48978.97
298,184,4040308709,current,2024-09-14,262349.26
299,185,1294700282,savings,2026-02-16,293640.99
300,185,4910873426,savings,2026-01-26,110896.52
301,186,5552630510,loan,2024-03-23,124825.94
302,186,5694498517,loan,2024-05-15,306038.15
303,187,2072933675,loan,2026-06-22,385899.69
304,187,4052439681,loan,2026-07-04,126185.34
305,188,8393016172,savings,2026-04-22,175704
306,188,2022013305,savings,2026-03-22,474571.09
307,189,4366358109,loan,2024-11-23,414700.65
308,189,2080298771,savings,2024-12-08,16974.64
309,190,2607294006,savings,2023-09-20,381861.93
310,190,9107341815,loan,2023-11-08,206634.08
311,191,1681511502,savings,2025-03-01,86927.16
312,191,8310955408,current,2025-02-24,47221.12
313,192,3463011067,savings,2025-02-02,496530.25
314,192,3121228689,loan,2025-01-31,324858.71
315,193,9282213398,current,2025-03-18,389776.1
316,193,7528955655,loan,2025-03-13,263976.9
317,194,4054420356,current,2024-07-23,119220.9
318,195,4830751054,current,2025-03-03,209537.15
319,196,7011718087,savings,2023-11-08,415186.39
320,196,8391556610,current,2023-09-22,305960.89
321,197,1454908292,current,2025-08-23,301454.65
322,197,6361505372,current,2025-08-05,138161.32
323,198,1581977170,current,2025-09-19,227573.97
324,199,4235903060,loan,2025-06-21,326225.55
325,199,8350895174,loan,2025-05-27,370388.9
326,200,1757657947,savings,2024-02-04,165566.05
327,200,6703393723,loan,2024-03-07,406274.98
328,201,8828256778,loan,2024-06-14,156286.8
329,201,8061616696,savings,2024-04-21,322398.89
330,202,3473885692,current,2025-02-20,69802.28
331,202,6882746565,savings,2025-02-14,126156.1
332,203,1022920739,savings,2024-04-21,317627.4
333,203,8679575307,current,2024-03-21,323377
334,204,3127746178,savings,2026-03-09,140752.66
335,205,5882709700,current,2026-06-12,401467.35
336,206,1400011377,current,2023-12-05,241345.88
337,206,4416254346,loan,2024-01-15,455269.27
338,207,4847760553,loan,2025-06-10,96288.05
339,207,4133627579,loan,2025-06-19,344799.04
340,208,6782055235,current,2025-10-03,219748.65
341,208,1319572673,current,2025-11-10,373685.27
342,209,9582601567,savings,2023-10-30,336640.59
343,209,7463959981,savings,2023-09-26,496455.7
344,210,9434127931,savings,2023-10-29,430375.87
345,210,6133652628,loan,2023-10-24,359967.62
346,211,7037345180,savings,2026-02-07,65014.67
347,211,2795460082,savings,2026-01-04,76071.22
348,212,6355735474,savings,2025-03-14,436564
349,212,4975131836,savings,2025-03-30,107050.44
350,213,1242238420,savings,2025-08-14,123475.33
351,213,9799336033,savings,2025-07-28,371168.77
352,214,3526971708,loan,2025-12-19,313949.49
353,215,8159962679,loan,2025-02-19,388279.99
354,215,8545428271,loan,2024-12-10,124873.71
355,216,5300958882,savings,2024-09-15,245899.82
356,216,2893409604,savings,2024-11-03,444938.85
357,217,6937009839,savings,2023-11-29,315813.77
358,217,3177767377,savings,2023-12-21,479326.29
359,218,1035835485,current,2024-05-16,127643.11
360,219,3758214708,savings,2026-06-23,8473.74
361,219,2271126164,savings,2026-06-30,348769.19
362,220,6133481935,savings,2026-08-13,474867.12
363,221,5969368847,current,2025-08-05,146779.52
364,221,3256576757,loan,2025-09-20,414449.15
365,222,2792395092,savings,2024-05-20,307370.63
366,222,7409300482,savings,2024-06-18,249548.08
367,223,3423309894,savings,2024-10-26,256116.01
368,223,3164778072,loan,2024-09-24,249976.02
369,224,4255903522,current,2024-10-24,25906.92
370,224,2403521587,current,2024-11-13,115466.06
371,225,4325447127,savings,2023-11-12,491251.58
372,225,6133960288,savings,2023-10-13,349684.68
373,226,1129655270,savings,2025-11-05,250887.62
374,227,2194489640,loan,2026-03-11,162167.68
375,227,2038850790,loan,2026-04-24,13529.15
376,228,9408789259,loan,2026-02-11,174774.32
377,229,8436297631,savings,2026-08-15,86631.41
378,229,4168199581,current,2026-08-27,425103.26
379,230,9303721801,current,2025-05-24,163509.66
380,230,3256995856,current,2025-05-24,381759.34
381,231,5481609316,current,2026-08-21,411656.34
382,231,6839350064,loan,2026-08-02,318132.65
383,232,2696459743,savings,2024-08-11,186800.34
384,233,3025634691,loan,2023-12-28,213403.19
385,234,8945492794,loan,2026-05-10,5771.82
386,234,6044923834,loan,2026-08-05,10105.66
387,235,4373409871,loan,2024-08-15,60809.33
388,236,1046969832,loan,2024-05-16,233182.19
389,236,1901205335,savings,2024-06-24,455996.62
390,237,2245262201,loan,2026-07-14,482979.85
391,237,9101168551,current,2026-05-13,231881.99
392,238,9942694790,loan,2023-09-30,158847.28
393,238,1958335831,loan,2023-10-09,452634.62
394,239,7788598286,savings,2024-07-16,232842.61
395,239,2468964539,loan,2024-09-30,357341.75
396,240,8809219680,current,2024-02-04,137531.75
397,240,4220592760,savings,2024-02-07,94431.5
398,241,3594211573,current,2024-08-19,454134.11
399,242,6968390444,loan,2024-02-04,346886.51
400,242,8335776857,savings,2023-12-18,133865.61
401,243,4416184271,current,2023-10-10,231878.89
402,243,6409609848,savings,2023-11-03,314442.46
403,244,2088402268,savings,2025-12-11,119907.23
404,244,6255526307,savings,2025-12-08,134312.69
405,245,3479053544,loan,2024-08-20,169690.47
406,246,7183626680,loan,2025-07-31,327589.37
407,246,9174359122,savings,2025-07-28,332643.59
408,247,2041523237,savings,2025-08-26,368113.62
409,247,4733109866,savings,2025-11-08,96231.75
410,248,8690726781,savings,2025-05-12,375912.45
411,249,7876096131,savings,2026-08-30,205775.25
412,249,6439021693,current,2026-08-04,427015.13
413,250,2279399723,savings,2024-05-16,80242.3
414,250,4033032006,loan,2024-04-10,178058.03
415,251,3715641974,current,2024-10-27,345907.9
416,252,9533156198,loan,2026-05-09,151117.55
417,253,7778881668,loan,2026-07-10,1015.19
418,253,1367922902,savings,2026-05-30,368061.43
419,254,4854000224,savings,2026-03-02,276657.16
420,254,6260296232,loan,2026-02-07,292119.72
421,255,1090148225,savings,2026-04-18,279659.44
422,255,6244072288,current,2026-01-30,404980.44
423,256,3138239466,current,2025-09-06,341215.41
424,256,9138011777,savings,2025-08-03,30770.33
425,257,2530799324,savings,2024-01-14,28200.15
426,258,8830162312,current,2023-12-13,208051.3
427,259,6476884472,savings,2026-01-30,164216.35
428,260,1851862087,current,2026-08-11,122696.1
429,261,6645705408,loan,2023-11-13,323080.74
430,261,1697421102,savings,2023-10-31,127923.83
431,262,1969569755,loan,2026-03-12,178340.68
432,262,1983815851,current,2026-03-01,35085.56
433,263,4565238155,savings,2026-01-09,385404.57
434,263,6377559083,current,2026-01-13,416672.67
435,264,6371399071,current,2026-08-28,234503.09
436,264,9867135611,savings,2026-07-10,329534.98
437,265,9149032772,current,2024-08-11,175108.3
438,265,3603702175,current,2024-08-16,446378.37
439,266,2257695046,current,2024-02-12,136924.12
440,267,9578635407,loan,2026-03-03,487191.01
441,268,5417024837,current,2024-06-17,448375.16
442,269,9511922170,loan,2025-04-30,87118.63
443,269,9810106500,savings,2025-04-21,171733.01
444,270,4071470471,savings,2024-02-07,95572.6
445,270,4640496751,loan,2024-04-06,182186.82
446,271,7644360965,loan,2025-08-11,236429.43
447,271,2398583750,current,2025-08-22,116737.91
448,272,3156625812,savings,2026-01-08,406946.64
449,272,4085807344,current,2025-12-13,75053.3
450,273,1280633909,current,2023-11-04,332658.18
451,274,6248238248,savings,2025-05-13,397300.72
452,275,8924451061,current,2026-04-24,316232.58
453,275,8005130541,savings,2026-05-01,234597.24
454,276,2171924917,savings,2025-05-29,475313.13
455,276,4480136602,savings,2025-03-18,465276.82
456,277,8401030310,current,2024-05-15,273828.43
457,277,5437260555,loan,2024-06-08,163109.68
458,278,2004467867,savings,2024-08-06,415745.73
459,279,1738715415,savings,2024-08-29,346128.2
460,279,6035028961,savings,2024-11-13,38090.35
461,280,6182277503,loan,2024-06-11,50442.85
462,280,9444435767,savings,2024-06-19,457363.96
463,281,8578415700,savings,2026-01-05,451018
464,281,4174749158,savings,2026-02-27,198075.05
465,282,4759691986,loan,2026-04-18,213232.56
466,282,4852730732,loan,2026-04-12,130764.3
467,283,4954151419,savings,2025-09-07,428742.1
468,283,3213975114,loan,2025-08-31,110974.13
469,284,5078052442,savings,2026-07-24,434696.85
470,284,9921878661,loan,2026-06-02,82375.45
471,285,9105517644,current,2025-10-15,320094.35
472,285,9439886233,savings,2025-11-01,49847.41
473,286,8171426624,current,2024-02-19,344299.38
474,286,8684884316,loan,2024-03-31,412176.75
475,287,3001939748,current,2023-09-16,387115.55
476,288,5461089772,loan,2026-04-17,24768.05
477,288,7856656002,loan,2026-05-22,382037.34
478,289,1376558227,savings,2025-05-26,455288.94
479,289,4170213993,current,2025-05-03,396500.12
480,290,9430893402,savings,2024-02-02,147792.35
481,291,9353466728,loan,2025-06-25,257064.18
482,291,5628251485,savings,2025-07-20,229052.49
483,292,5175019295,current,2024-09-27,426339.21
484,292,9336197487,loan,2024-07-23,312862.26
485,293,8845252780,current,2025-09-27,415333.83
486,293,5687663018,loan,2025-10-06,284495.44
487,294,8197787917,current,2026-06-17,188975.73
488,295,9743325798,current,2025-03-25,83965.63
489,296,7756656899,current,2024-12-28,306140.94
490,296,4089319696,savings,2024-11-27,125468.39
491,297,6733431417,current,2026-09-04,198498.12
492,298,5427132063,savings,2024-02-07,129420.67
493,298,7709342568,savings,2023-12-29,299770.18
494,299,5283264559,current,2024-10-22,76388.95
495,300,4603756963,loan,2024-01-09,107180.5
496,300,6127064496,savings,2023-11-22,31693.82
497,301,2650564441,loan,2024-04-13,278536.86
498,302,7497430161,loan,2024-04-15,337508.02
499,302,2551257224,savings,2024-03-15,249621.16
500,303,2424580568,current,2024-04-09,409415.17
501,304,6155514469,loan,2026-05-01,8373.76
502,304,1066362662,savings,2026-04-03,84986.2
503,305,5183025658,loan,2026-04-20,83726.29
504,305,2856357563,loan,2026-06-27,89463.71
505,306,9853083386,current,2024-04-22,230083.57
506,307,5384696773,loan,2024-11-28,183034.17
507,307,8350530046,loan,2025-02-14,417214.83
508,308,9608905821,current,2026-04-10,385062.44
509,309,6085421355,loan,2025-01-24,157511.98
510,309,1146160345,loan,2025-01-15,136177.64
511,310,7082317917,loan,2024-06-29,127811.22
512,311,4101995192,savings,2024-07-12,489317.3
513,312,3469780508,loan,2025-06-03,467930.12
514,312,6593578998,savings,2025-05-15,362431.56
515,313,5718547077,current,2024-05-27,367948.43
516,313,3644120559,current,2024-05-31,292187.11
517,314,5544509328,savings,2024-03-18,112258.73
518,315,6087342173,loan,2025-10-22,57900.5
519,315,4584163595,loan,2025-09-10,146825.49
520,316,8244267173,current,2025-05-14,57017.67
521,316,6308311550,savings,2025-05-05,173580.19
522,317,8638132487,savings,2025-05-12,45261.64
523,317,4076920364,savings,2025-03-16,136933.26
524,318,1869411014,savings,2025-03-06,270683.32
525,319,4656303409,savings,2024-03-20,89784.45
526,319,4520365863,savings,2024-01-14,296722.54
527,320,7388292063,current,2025-11-21,98220.24
528,320,4976539633,current,2025-11-23,312768.93
529,321,4110219511,current,2023-08-11,28655.16
530,322,4045651624,savings,2025-02-14,90641.5
531,323,4026294442,savings,2025-10-30,287365.53
532,323,2502715112,current,2025-11-25,119585.17
533,324,3861626711,loan,2025-06-10,201425.3
534,324,5483034686,savings,2025-06-02,54542.51
535,325,8410676900,savings,2025-02-25,166480.75
536,325,6747397694,current,2025-02-12,433659.52
537,326,2252604562,current,2023-11-10,323837.77
538,327,9225928681,current,2024-01-23,149350.86
539,327,4726693199,savings,2024-02-18,178340.86
540,328,6933942318,current,2024-10-15,499153.14
541,329,1318472634,loan,2023-09-24,135882.58
542,329,6234238808,loan,2023-09-28,358694.81
543,330,5831699323,current,2025-05-03,332481.6
544,330,8482164459,current,2025-03-27,246473.38
545,331,6145617309,current,2023-11-12,175062.23
546,331,1034030713,savings,2023-10-30,173020.96
547,332,8996524184,savings,2025-05-08,63985.33
548,332,4738555239,loan,2025-04-22,30790.65
549,333,4564668035,savings,2025-07-04,465276.57
550,333,8902812973,loan,2025-07-21,107326.75
551,334,4359451422,loan,2024-03-26,78214.68
552,335,1812978524,loan,2025-09-05,243022.85
553,335,3856629402,current,2025-09-01,403385.65
554,336,2704393145,loan,2023-10-19,212263.31
555,336,2132122375,savings,2023-10-28,305283.44
556,337,3349152751,current,2024-11-10,214628.46
557,337,2330349350,current,2024-10-28,277592.86
558,338,5950669762,loan,2024-03-26,361523.85
559,339,8396215726,savings,2023-11-08,390765.89
560,340,6006372171,current,2025-06-12,230071.97
561,340,1189390080,savings,2025-05-25,465092.25
562,341,4735523779,current,2024-04-19,375750.64
563,342,5494208605,current,2024-06-21,91234.05
564,343,4266426614,savings,2025-03-03,290104.77
565,343,5216810622,current,2025-03-28,221745.89
566,344,4521742974,savings,2025-07-18,132975.12
567,345,3013022041,savings,2023-10-22,366116.65
568,345,3172352624,loan,2023-11-24,452734.8
569,346,8861404659,savings,2025-07-06,356922.02
570,346,8341871911,current,2025-08-09,326201.63
571,347,5590860356,savings,2025-02-16,15446.76
572,347,7132692359,current,2025-01-31,400940.03
573,348,9130342717,loan,2024-03-09,207968.67
574,349,3192362716,savings,2025-08-02,357578.44
575,350,5360594520,savings,2026-02-27,280373.12
576,351,6174528773,savings,2024-03-02,120122.46
577,351,5256230321,loan,2024-03-01,309826.74
578,352,2566462315,savings,2026-08-15,51482.09
579,352,7100201556,savings,2026-09-03,312733.23
580,353,1384547862,loan,2024-07-21,426391.37
581,354,4218217532,savings,2026-06-04,493641.46
582,355,9136264169,savings,2025-08-18,394680.03
583,356,4550910901,loan,2025-07-28,256427.03
584,356,2649037227,savings,2025-07-15,137238.1
585,357,3243809436,savings,2026-08-02,81508.21
586,358,9796148881,savings,2025-05-21,324716.77
587,358,4220039879,savings,2025-04-11,415000.36
588,359,7367234652,current,2026-05-09,12612.87
